,0
harp_indicator,931749
pre_harp_loan_sequence_number,931749
super_conforming_flag,921647
msa,98327
first_payment_date,0
credit_score,0
mortgage_insurance_percentage,0
maturity_date,0
first_time_homebuyer_flag,0
number_of_units,0
original_upb,0
occupancy_status,0
original_cltv,0
original_dti_ratio,0
prepayment_penalty_mortgage_flag,0
amortization_type,0
property_state,0
property_type,0
postal_code,0
original_ltv,0
