threshold,approval_rate,decline_rate,precision,recall_bad_loan_capture_rate,f1_score,false_positive_rate,true_positive,false_positive,true_negative,false_negative
0.84,0.9999,0.0001,0.1818,0.0006,0.0012,0.0,2,9,182883,3456
0.85,0.9999,0.0001,0.1818,0.0006,0.0012,0.0,2,9,182883,3456
0.86,0.9999,0.0001,0.1,0.0003,0.0006,0.0,1,9,182883,3457
0.87,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.88,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.89,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.9,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.91,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.92,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.93,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.94,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.95,1.0,0.0,0.1111,0.0003,0.0006,0.0,1,8,182884,3457
0.96,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
0.97,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
0.98,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
0.99,1.0,0.0,0.125,0.0003,0.0006,0.0,1,7,182885,3457
