feature_1,feature_2,pearson_abs_correlation,feature_1_target_abs_correlation,feature_2_target_abs_correlation,kept_feature,dropped_feature
mortgage_insurance_percentage,original_cltv,0.7008,0.046,0.0413,mortgage_insurance_percentage,original_cltv
mortgage_insurance_percentage,original_ltv,0.7044,0.046,0.0391,mortgage_insurance_percentage,original_ltv
