threshold,approval_rate,decline_rate,precision,recall_bad_loan_capture_rate,f1_score,false_positive_rate,true_positive,false_positive,true_negative,false_negative
0.181,0.9941,0.0059,0.2734,0.087,0.132,0.0044,301,800,182092,3157
0.182,0.9943,0.0057,0.2788,0.0862,0.1317,0.0042,298,771,182121,3160
0.183,0.9944,0.0056,0.282,0.0853,0.131,0.0041,295,751,182141,3163
0.184,0.9945,0.0055,0.2859,0.0847,0.1307,0.004,293,732,182160,3165
0.185,0.9946,0.0054,0.2893,0.0836,0.1297,0.0039,289,710,182182,3169
0.186,0.9947,0.0053,0.2895,0.0821,0.128,0.0038,284,697,182195,3174
0.187,0.9948,0.0052,0.2939,0.0818,0.128,0.0037,283,680,182212,3175
0.188,0.995,0.005,0.2961,0.0804,0.1264,0.0036,278,661,182231,3180
0.189,0.9951,0.0049,0.3004,0.0801,0.1265,0.0035,277,645,182247,3181
0.19,0.9952,0.0048,0.3073,0.0798,0.1267,0.0034,276,622,182270,3182
0.191,0.9953,0.0047,0.3107,0.0792,0.1263,0.0033,274,608,182284,3184
0.192,0.9954,0.0046,0.3135,0.0775,0.1243,0.0032,268,587,182305,3190
0.193,0.9955,0.0045,0.3175,0.0772,0.1242,0.0031,267,574,182318,3191
0.194,0.9956,0.0044,0.3143,0.0749,0.121,0.0031,259,565,182327,3199
0.195,0.9957,0.0043,0.318,0.0737,0.1197,0.003,255,547,182345,3203
0.196,0.9958,0.0042,0.3223,0.0729,0.1189,0.0029,252,530,182362,3206
0.197,0.9959,0.0041,0.3251,0.0723,0.1183,0.0028,250,519,182373,3208
0.198,0.9959,0.0041,0.3276,0.0717,0.1177,0.0028,248,509,182383,3210
0.199,0.996,0.004,0.3293,0.0711,0.117,0.0027,246,501,182391,3212
0.2,0.9961,0.0039,0.3338,0.07,0.1157,0.0026,242,483,182409,3216
